ID	Plantparts	Detritus	AMOE	BACT	CEP	CEU	CHE	FLAG	FUNG	LINY	LYCO	MAPRHS	MAPRLB	MAPRLS	MAPRSB	MAPRSS	MDETA	MDETP	MEM	NBF	NFF	NPHY	NPP	OMNA	OMNP	ORM	VDTAN	VDTEN	VDTEP
Plantparts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Detritus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMOE	0	0	0	0,5	0	0	0	0,3	0,2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP	0	0,25	0	0,25	0	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEU	0	0,25	0	0,25	0	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHE	0	0,25	0	0,25	0	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLAG	0	0	0	0,9	0	0	0	0	0,1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNG	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINY	0	0	0	0	0,4	0	0,3	0	0	0,1	0	0	0	0	0	0	0	0	0,05	0	0	0	0	0	0,1	0,05	0	0	0
LYCO	0	0	0	0	0,2	0	0,2	0	0	0,2	0,2	0	0,05	0,005	0,05	0,1	0,05	0,05	0,05	0	0	0	0	0,2	0,05	0,05	0,005	0	0,005
MAPRHS	0,5	0	0	0	0,05	0	0,03	0	0,02	0,05	0,05	0	0,1	0,2	0,1	0,2	0,1	0,2	0,001	0	0	0	0	0,2	0,1	0,001	0,005	0	0,01
MAPRLB	0	0	0	0	0,2	0,2	0,2	0	0	0	0	0	0	0	0	0	0	0	0,2	0,2	0,2	0,2	0,2	0	0	0,2	0	0	0
MAPRLS	0,1	0,05	0	0	0,1	0	0,1	0	0,01	0	0	0	0,3	0	0,05	0,1	0,05	0,05	0,005	0	0	0	0	0,1	0,2	0,005	0,005	0	0,005
MAPRSB	0	0,05	0	0,05	0,4	0,4	0,4	0	0,05	0	0	0	0,05	0	0	0	0	0,05	0,1	0	0	0	0	0	0,2	0,1	0,005	0,005	0,005
MAPRSS	0,1	0	0	0	0,6	0	0,4	0	0	0,05	0	0	0,05	0	0	0,05	0	0,05	0,1	0	0	0	0	0,05	0,05	0,1	0,005	0	0,005
MDETA	0	0,8	0	0,1	0	0	0	0	0,1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDETP	0,2	0,8	0	0,1	0	0	0	0	0,1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEM	0	0	0	0	0,5	0,5	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0,25	0,25	0,25	0,25	0	0	0,5	0	0	0
NBF	0	0	0	0,95	0	0	0	0,05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFF	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHY	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPP	0	0	0,001	0,0001	0	0	0	0,001	0	0	0	0	0	0	0	0	0	0	0	0,2	0,2	0,2	0,05	0	0	0	0	0	0
OMNA	0	0,5	0	0	0,05	0	0,05	0	0	0,1	0,1	0	0	0	0	0,1	0	0	0,001	0	0	0	0	0,1	0,001	0,001	0,001	0	0,001
OMNP	0	0,9	0	0	0	0	0	0	0,1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORM	0	0,25	0	0,1	0	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VDTAN	0	0,2	0	0,4	0	0	0	0	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VDTEN	0	0,2	0	0,4	0	0	0	0	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VDTEP	0	0,2	0	0,4	0	0	0	0	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
