Date	Plot	Block	Mod	Strate	CMIC	DryW_MiOr	WetW_MiOr	Biommic	BactADN_m2	FungiADN_m2	Ratio16S18S
Year0	A01	B1	RN	0-20	66060	132121	660605	10786	1,82629E+15	6,83737E+13	26,71
Year0	A02	B1	RT	0-20	63933	127865	639326	11038	1,56167E+15	5,18459E+13	30,12
Year0	A03	B1	CONV	0-20	64868	129735	648675	9457	1,71927E+15	6,86149E+13	25,06
Year0	A05	B1	RR-PER	0-20	65315	130629	653145	10412	2,30221E+15	8,17434E+13	28,16
Year0	A06	B1	RT-RR	0-20	60635	121270	606348	6970	1,23299E+15	3,37269E+13	36,56
Year0	A07	B2	RT-RR	0-20	59857	119714	598571	5889	6,03268E+14	2,24108E+13	26,92
Year0	A08	B2	RR-PER	0-20	59021	118042	590210	10568	2,03345E+15	9,09004E+13	22,37
Year0	A09	B2	RN	0-20	61141	122282	611411	7624	1,12771E+15	5,54933E+13	20,32
Year0	A10	B2	RT	0-20	57666	115331	576657	8565	1,79204E+15	6,13622E+13	29,20
Year0	A12	B2	CONV	0-20	62135	124271	621354	8680	1,20878E+15	5,06811E+13	23,85
Year0	A13	B3	CONV	0-20	68797	137593	687965	8859	1,13622E+15	5,00029E+13	22,72
Year0	A14	B3	RN	0-20	71466	142933	714664	8756	7,97968E+14	2,36784E+13	33,70
Year0	A16	B3	RR-PER	0-20	75062	150124	750618	7640	1,3836E+15	5,14666E+13	26,88
Year0	A17	B3	RT-RR	0-20	79455	158910	794552	11064	3,28598E+15	8,49975E+13	38,66
Year0	A18	B3	RT	0-20	68549	137098	685490	5716	9,71588E+14	3,46702E+13	28,02
Year0	A20	B4	RT	0-20	67156	134313	671563	7265	1,15013E+15	2,68014E+13	42,91
Year0	A21	B4	RR-PER	0-20	71224	142449	712243	8147	1,44552E+15	3,87676E+13	37,29
Year0	A22	B4	CONV	0-20	73740	147481	737403	9594	1,59924E+15	6,42838E+13	24,88
Year0	A23	B4	RT-RR	0-20	73778	147556	737780	6025	1,01302E+15	3,42272E+13	29,60
Year0	A24	B4	RN	0-20	77359	154718	773589	6693	1,09784E+15	3,74671E+13	29,30
Year2	A01	B1	RN	0-20	63811	127623	638114	13149	2,42382E+15	1,24263E+14	19,51
Year2	A02	B1	RT	0-20	69480	138961	694804	15540	2,29272E+15	4,78607E+13	47,90
Year2	A03	B1	CONV	0-20	71209	142417	712085	11603	2,67701E+15	5,63812E+13	47,48
Year2	A05	B1	RR-PER	0-20	112121	224243	1121215	14486	6,32796E+15	7,30026E+13	86,68
Year2	A06	B1	RT-RR	0-20	65316	130631	653155	17805	4,21187E+15	1,06382E+14	39,59
Year2	A07	B2	RT-RR	0-20	66701	133402	667009	14263	2,27148E+15	6,24654E+13	36,36
Year2	A08	B2	RR-PER	0-20	97798	195596	977981	9162	1,90502E+15	3,36481E+13	56,62
Year2	A09	B2	RN	0-20	69447	138893	694467	9964	1,68617E+15	4,43177E+13	38,05
Year2	A10	B2	RT	0-20	69634	139269	696345	11437	2,82169E+15	7,5072E+13	37,59
Year2	A12	B2	CONV	0-20	66188	132377	661883	10568	3,23828E+15	1,1311E+14	28,63
Year2	A13	B3	CONV	0-20	65642	131285	656424	11013	2,87286E+15	9,43766E+13	30,44
Year2	A14	B3	RN	0-20	60449	120898	604489	12143	2,71714E+15	4,83816E+13	56,16
